,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000299,0.002215,0.000652,0.07699,0.000609,0.000212,660,120,2,24,2
1,0.016667,0.000175,0.002774,0.000671,0.064374,0.000485,0.000186,660,120,2,24,2
2,0.026552,0.000141,0.002263,0.00061,0.059636,0.000539,0.000187,660,120,2,24,2
3,0.036268,0.000141,0.002291,0.000617,0.058916,0.000537,0.000158,660,120,2,24,2
4,0.045661,0.000141,0.002316,0.00064,0.059525,0.000518,0.000123,660,120,2,24,2
5,0.054889,0.000144,0.002355,0.000653,0.059266,0.000601,0.000143,660,120,2,24,2
6,0.064011,0.000147,0.002318,0.00064,0.05932,0.000553,0.00017,660,120,2,24,2
7,0.073007,0.000141,0.002301,0.00064,0.059219,0.000603,0.000166,660,120,2,24,2
8,0.081937,0.000141,0.002348,0.000638,0.059368,0.000593,0.000147,660,120,2,24,2
9,0.090857,0.000145,0.002386,0.000688,0.059437,0.000562,0.000157,660,120,2,24,2
10,0.099822,0.000147,0.002368,0.000649,0.060322,0.000599,0.000192,660,120,2,24,2
11,0.108874,0.000141,0.002377,0.000646,0.060797,0.000562,0.000196,660,120,2,24,2
12,0.118001,0.000141,0.002423,0.000823,0.060415,0.000549,0.000211,660,120,2,24,2
13,0.127177,0.000145,0.002435,0.000695,0.060498,0.000553,0.000175,660,120,2,24,2
14,0.13641,0.000159,0.002432,0.00069,0.061151,0.000717,0.000205,660,120,2,24,2
15,0.1457,0.000143,0.002397,0.000799,0.060705,0.000598,0.000195,660,120,2,24,2
16,0.155048,0.000141,0.002419,0.000769,0.060623,0.000605,0.000235,660,120,2,24,2
17,0.164448,0.000141,0.002424,0.00073,0.059812,0.000531,0.00014,660,120,2,24,2
18,0.173896,0.000143,0.002355,0.000686,0.059484,0.000594,0.00015,660,120,2,24,2
19,0.183391,0.000141,0.002394,0.000716,0.05946,0.000541,0.000142,660,120,2,24,2
20,0.192933,0.000141,0.002311,0.000677,0.059412,0.000544,0.000145,660,120,2,24,2
21,0.202516,0.000141,0.00232,0.000675,0.058772,0.000551,0.00014,660,120,2,24,2
22,0.21211,0.000148,0.002317,0.000681,0.058255,0.00054,0.000146,660,120,2,24,2
23,0.221714,0.000141,0.00235,0.000722,0.058074,0.000548,0.000133,660,120,2,24,2
24,0.231331,0.000141,0.002334,0.000727,0.058649,0.000597,0.000111,660,120,2,24,2
25,0.240961,0.000141,0.002375,0.000703,0.058459,0.000564,0.000117,660,120,2,24,2
26,0.250605,0.000141,0.002379,0.000677,0.059474,0.000545,0.000144,660,120,2,24,2
27,0.260266,0.000141,0.002331,0.000774,0.059373,0.000602,0.00014,660,120,2,24,2
28,0.269946,0.000147,0.002323,0.000666,0.059682,0.00057,0.000175,660,120,2,24,2
29,0.279645,0.000141,0.002337,0.000671,0.059754,0.000535,0.000163,660,120,2,24,2
30,0.289366,0.000145,0.002381,0.000736,0.059368,0.000547,0.000146,660,120,2,24,2
31,0.29911,0.000144,0.002335,0.00069,0.058869,0.000545,0.000149,660,120,2,24,2
32,0.308876,0.000143,0.002344,0.000662,0.059262,0.000548,0.000161,660,120,2,24,2
33,0.318663,0.000143,0.00233,0.000691,0.059362,0.000584,0.00012,660,120,2,24,2
34,0.32846,0.000143,0.002339,0.000656,0.059257,0.000597,0.000128,660,120,2,24,2
35,0.338266,0.000179,0.002338,0.000699,0.059388,0.000593,0.000116,660,120,2,24,2
36,0.348083,0.000147,0.002335,0.000707,0.059288,0.000579,0.000153,660,120,2,24,2
37,0.357912,0.000141,0.002365,0.000692,0.059441,0.000576,0.000147,660,120,2,24,2
38,0.367752,0.000152,0.002344,0.000709,0.060001,0.000556,0.00017,660,120,2,24,2
39,0.377603,0.000163,0.002343,0.000682,0.059823,0.000559,0.000155,660,120,2,24,2
40,0.387467,0.000141,0.002359,0.000697,0.059204,0.000606,0.000159,660,120,2,24,2
41,0.397345,0.000148,0.002432,0.000725,0.059548,0.000544,0.000187,660,120,2,24,2
42,0.407236,0.000141,0.00242,0.000713,0.060399,0.000599,0.000206,660,120,2,24,2
43,0.417141,0.000141,0.002412,0.000728,0.061064,0.000538,0.000249,660,120,2,24,2
44,0.42706,0.000141,0.002402,0.000674,0.061279,0.000595,0.000179,660,120,2,24,2
45,0.436994,0.000144,0.002423,0.000724,0.061346,0.000749,0.000193,660,120,2,24,2
46,0.446942,0.000141,0.002424,0.000663,0.060971,0.000558,0.000187,660,120,2,24,2
47,0.456904,0.000147,0.002415,0.000787,0.059766,0.000579,0.000142,660,120,2,24,2
48,0.466882,0.000146,0.002425,0.000654,0.05941,0.000587,0.00011,660,120,2,24,2
49,0.476874,0.000141,0.002362,0.000756,0.058124,0.000486,0.000156,660,120,2,24,2
50,0.48688,0.000141,0.002385,0.000681,0.058367,0.000599,0.000113,660,120,2,24,2
