,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.001306,0.001075,0.000155,0.093622,0.000273,0.000184,0.02294,0.035,0.013133,660,120,8,96,1
1,0.016667,8.4e-05,0.001492,0.000191,0.077373,0.000271,0.000222,0.020221,0.026643,0.009957,660,120,8,96,1
2,0.026552,6.8e-05,0.001229,0.000147,0.074781,0.000299,0.000159,0.020268,0.024462,0.00915,660,120,8,96,1
3,0.036268,7.1e-05,0.001285,0.000147,0.076608,0.000264,0.000191,0.020583,0.024462,0.009149,660,120,8,96,1
4,0.045661,7.1e-05,0.001239,0.000147,0.075241,0.000244,0.000201,0.019857,0.024463,0.009138,660,120,8,96,1
5,0.054889,6.7e-05,0.001235,0.000147,0.074767,0.00024,0.000177,0.019352,0.024424,0.009117,660,120,8,96,1
6,0.064011,7.6e-05,0.001239,0.000147,0.08373,0.000207,0.000198,0.023928,0.024507,0.00911,660,120,8,96,1
7,0.073007,6.8e-05,0.001239,0.000147,0.075447,0.000252,0.000206,0.019636,0.024536,0.009132,660,120,8,96,1
8,0.081937,7e-05,0.001227,0.000147,0.075664,0.00021,0.000219,0.019849,0.024475,0.009144,660,120,8,96,1
9,0.090857,6.8e-05,0.001234,0.000147,0.07618,0.000258,0.000183,0.020151,0.024475,0.009126,660,120,8,96,1
10,0.099822,7e-05,0.001297,0.000147,0.076026,0.000235,0.000232,0.020047,0.024425,0.009171,660,120,8,96,1
11,0.108874,7e-05,0.001236,0.000147,0.076558,0.000284,0.000192,0.020428,0.024442,0.009163,660,120,8,96,1
12,0.118001,7e-05,0.001259,0.000147,0.075555,0.00028,0.000205,0.020185,0.024433,0.009155,660,120,8,96,1
13,0.127177,7e-05,0.001266,0.000147,0.074462,0.000293,0.000162,0.019577,0.024449,0.009131,660,120,8,96,1
14,0.13641,6.7e-05,0.001286,0.000147,0.073567,0.000333,0.000182,0.019209,0.024443,0.009139,660,120,8,96,1
15,0.1457,7.8e-05,0.001212,0.000147,0.0739,0.000264,0.000143,0.019246,0.024477,0.00913,660,120,8,96,1
16,0.155048,6.8e-05,0.00126,0.000147,0.073762,0.00029,0.000178,0.019393,0.024465,0.009135,660,120,8,96,1
17,0.164448,6.7e-05,0.001256,0.000147,0.074006,0.000338,0.000105,0.019276,0.024511,0.009134,660,120,8,96,1
18,0.173896,7e-05,0.001221,0.000147,0.073483,0.000276,0.000166,0.018857,0.02447,0.009109,660,120,8,96,1
19,0.183391,7.1e-05,0.001268,0.000147,0.07334,0.000329,0.000166,0.018991,0.02444,0.009122,660,120,8,96,1
20,0.192933,7e-05,0.00125,0.000153,0.073919,0.000267,0.000155,0.019236,0.024406,0.009117,660,120,8,96,1
21,0.202516,7e-05,0.001228,0.000147,0.07503,0.000281,0.000147,0.019534,0.024391,0.009158,660,120,8,96,1
22,0.21211,7.7e-05,0.001222,0.000147,0.076002,0.000273,0.000164,0.02005,0.024492,0.009125,660,120,8,96,1
23,0.221714,7.1e-05,0.001286,0.000147,0.075321,0.000272,0.00019,0.01997,0.024539,0.009117,660,120,8,96,1
24,0.231331,7.1e-05,0.001242,0.000147,0.074995,0.000219,0.00018,0.019476,0.024445,0.00911,660,120,8,96,1
25,0.240961,7.7e-05,0.00128,0.000147,0.074528,0.00021,0.000232,0.019399,0.024499,0.009138,660,120,8,96,1
26,0.250605,7e-05,0.001244,0.000147,0.072943,0.000272,0.000158,0.018967,0.024468,0.009113,660,120,8,96,1
27,0.260266,7.5e-05,0.001236,0.000147,0.074117,0.000239,0.000193,0.019796,0.024482,0.00915,660,120,8,96,1
28,0.269946,6e-05,0.001242,0.000147,0.072465,0.000235,0.000246,0.019598,0.02446,0.009159,660,120,8,96,1
29,0.279645,6.7e-05,0.00126,0.000147,0.071177,0.000263,0.00028,0.01884,0.02448,0.009137,660,120,8,96,1
30,0.289366,6.7e-05,0.001236,0.000147,0.070972,0.000338,0.000213,0.018763,0.02444,0.009112,660,120,8,96,1
31,0.29911,7.1e-05,0.001195,0.000147,0.071159,0.000254,0.000202,0.018719,0.024441,0.009118,660,120,8,96,1
32,0.308876,6.8e-05,0.001179,0.000153,0.07669,0.000238,0.000208,0.020274,0.024466,0.009132,660,120,8,96,1
33,0.318663,6.6e-05,0.001169,0.000147,0.070487,0.000317,0.000212,0.018369,0.024456,0.009124,660,120,8,96,1
34,0.32846,7.4e-05,0.001112,0.000147,0.072212,0.000203,0.000213,0.018607,0.024455,0.009117,660,120,8,96,1
35,0.338266,7.5e-05,0.00109,0.000147,0.0701,0.000298,0.00012,0.017758,0.024449,0.009145,660,120,8,96,1
36,0.348083,7e-05,0.001095,0.000153,0.070343,0.00033,0.000165,0.018014,0.024451,0.009112,660,120,8,96,1
37,0.357912,7.1e-05,0.00115,0.000147,0.074214,0.000205,0.000161,0.01835,0.024486,0.00914,660,120,8,96,1
38,0.367752,7.6e-05,0.001096,0.000147,0.069859,0.000253,0.000163,0.017293,0.024488,0.009162,660,120,8,96,1
39,0.377603,7.1e-05,0.001098,0.000147,0.069241,0.000219,0.000183,0.017218,0.024456,0.009103,660,120,8,96,1
40,0.387467,7.1e-05,0.001092,0.000147,0.070727,0.000256,0.000176,0.018438,0.024415,0.009136,660,120,8,96,1
41,0.397345,7.1e-05,0.001162,0.000147,0.070312,0.000208,0.000135,0.018565,0.024467,0.009136,660,120,8,96,1
42,0.407236,6.9e-05,0.001094,0.000159,0.071883,0.000255,0.000158,0.018864,0.024432,0.009117,660,120,8,96,1
43,0.417141,6.7e-05,0.001126,0.000147,0.074704,0.000267,0.00017,0.021828,0.024466,0.009119,660,120,8,96,1
44,0.42706,7e-05,0.001133,0.000147,0.069315,0.000215,0.000286,0.017723,0.024424,0.009116,660,120,8,96,1
45,0.436994,7.1e-05,0.001229,0.000147,0.069413,0.000326,0.000167,0.017786,0.024504,0.009135,660,120,8,96,1
46,0.446942,6.7e-05,0.001154,0.000147,0.069636,0.000265,0.000208,0.017942,0.024456,0.00913,660,120,8,96,1
47,0.456904,6.7e-05,0.001134,0.000147,0.068184,0.000234,0.000163,0.017489,0.024458,0.009171,660,120,8,96,1
48,0.466882,7e-05,0.001133,0.000147,0.06857,0.000253,0.000225,0.017512,0.024447,0.009131,660,120,8,96,1
49,0.476874,7.4e-05,0.001091,0.000147,0.071676,0.000295,0.000179,0.018833,0.024451,0.009145,660,120,8,96,1
50,0.48688,7.1e-05,0.001256,0.000147,0.069983,0.000233,0.000173,0.018393,0.024467,0.009127,660,120,8,96,1
